ds,value
2026-01-12 14:59:55.879026,163.4667
2026-01-12 15:00:56.782705,161.2667
2026-01-12 15:01:56.090508,157.65
2026-01-12 15:02:56.148472,168.3667
2026-01-12 15:03:56.323609,163.1833
2026-01-12 15:04:55.990871,164.7667
2026-01-12 15:05:56.677477,157.5833
2026-01-12 15:07:59.682956,175.8667
2026-01-12 15:08:56.419346,176.35
2026-01-12 15:09:56.058015,163.6833
2026-01-12 15:10:59.298098,173.2833
2026-01-12 15:11:56.458018,174.0333
2026-01-12 15:12:56.277056,156.1
2026-01-12 15:13:56.362768,148.1333
2026-01-12 15:14:56.266959,151.45
2026-01-12 15:15:56.184171,140.7667
2026-01-12 15:16:56.264518,146.1667
2026-01-12 15:17:56.511302,140.75
2026-01-12 15:19:50.057492,143.1333
2026-01-12 15:19:56.284952,119.7833
2026-01-12 15:20:56.696569,99.53333
2026-01-12 15:21:56.805994,101.3667
2026-01-12 15:22:56.780986,90.55
2026-01-12 15:24:57.921022,96.28333
2026-01-12 15:25:57.429570,88.95
2026-01-12 15:26:56.914575,60.9
2026-01-12 15:27:57.256451,55.06667
2026-01-12 15:29:01.496227,52.09999
2026-01-12 15:29:57.971355,63.21666
2026-01-12 15:30:57.066397,52.25
2026-01-12 15:31:56.803272,50.90001
2026-01-12 15:32:56.719332,53.75
2026-01-12 15:33:56.588892,58.05
2026-01-12 15:34:56.594588,53.11666
2026-01-12 15:35:57.769898,59.43333
2026-01-12 15:38:20.390280,46.63334
2026-01-12 15:38:28.173358,50.40001
2026-01-12 15:38:57.176089,46.15
2026-01-15 22:29:12.560129,126.8833
2026-01-15 22:30:12.566067,120.2167
2026-01-15 22:31:12.858521,116.45
2026-01-15 22:32:12.596415,111.0333
2026-01-15 22:33:12.635583,115.4333
2026-01-15 22:34:12.853104,109.55
2026-01-15 22:35:12.687783,106.7167
2026-01-15 22:36:12.865523,111.6
2026-01-15 22:37:12.768873,106.6333
2026-01-15 22:38:12.878173,102.8833
2026-01-15 22:39:12.892292,105.2167
2026-01-15 22:40:12.892520,105.5
2026-01-15 22:41:13.111939,108.0
2026-01-15 22:42:12.907778,106.0167
2026-01-15 22:43:12.921886,104.6833
2026-01-15 22:44:13.073405,102.7
2026-01-15 22:45:12.981847,107.5333
2026-01-15 22:46:13.141565,114.9
2026-01-15 22:47:13.217735,110.4833
2026-01-15 22:48:13.186960,104.8333
2026-01-15 22:50:14.424528,105.76
2026-01-15 22:51:13.707333,108.1833
2026-01-15 22:52:13.222313,106.65
2026-01-15 22:53:15.921380,105.2167
2026-01-15 22:54:13.530510,103.4833
2026-01-15 22:55:13.412213,108.05
2026-01-15 22:56:13.442465,114.75
2026-01-15 22:57:13.444535,106.9833
2026-01-15 22:58:13.467679,99.48334
2026-01-15 22:59:13.443439,100.4
2026-01-15 23:00:13.891135,92.61667
2026-01-15 23:01:13.478525,97.06666
2026-01-15 23:02:13.411382,137.2
2026-01-15 23:03:13.747343,107.0833
2026-01-15 23:04:13.476027,94.51666
2026-01-15 23:05:13.797823,84.9
2026-01-15 23:06:16.354842,80.91667
2026-01-15 23:07:13.823709,78.63333
2026-01-15 23:08:13.979598,72.15
2026-01-15 23:09:13.755444,68.45
2026-01-15 23:10:17.064911,68.83334
2026-01-15 23:11:13.725495,69.01666
2026-01-15 23:12:16.396839,61.53333
2026-01-15 23:13:14.423320,61.01666
2026-01-15 23:14:13.814220,58.86667
2026-01-15 23:15:14.005720,62.7
2026-01-15 23:16:13.755914,56.03334
2026-01-15 23:17:14.228148,61.83334
2026-01-15 23:18:13.986213,51.63334
2026-01-15 23:19:13.909950,49.95
2026-01-15 23:20:14.000961,51.3
2026-01-15 23:21:14.028823,48.03334
2026-01-15 23:22:14.073580,45.46666
2026-01-15 23:23:13.958235,46.2
2026-01-15 23:24:14.235347,46.01667
2026-01-15 23:25:14.037585,47.01667
2026-01-15 23:26:14.061616,43.7
2026-01-15 23:27:14.526905,48.46666
2026-01-15 23:28:14.262192,41.43333
2026-01-15 23:29:14.066760,40.63334
2026-01-15 23:30:14.588782,40.55
2026-01-15 23:31:16.853596,40.41667
2026-01-15 23:32:14.355577,37.58333
2026-01-15 23:33:14.652712,38.2
2026-01-15 23:34:14.340690,36.8
